Employee_ID,Quarter,Age,Years_of_Experience,Department,Education_Level,Job_Level,Attendance_Rate,Absenteeism_Rate,Productivity_Score,Engagement_Score,Workload_Index,Training_Hours,Competency_Score,Collaboration_Score,Work_Quality_Score,Previous_Performance_Score,Performance_Category,ProductivityScore,WorkLifeBalance
E00009,5,44.01,19.3,IT,Bachelor,Entry,98.2,2.34,85.91,81.02,47.25,8.05,78.48,65.13,87.93,81.07,2,85.91,0.0
E00010,1,35.51,13.34,Customer Service,Bachelor,Junior,96.46,3.39,70.92,87.14,63.97,20.8,82.06,60.82,80.43,75.28,2,70.92,0.0
E00010,2,35.51,13.34,Customer Service,Bachelor,Junior,95.24,5.8,66.42,87.01,64.17,13.41,86.75,72.98,86.31,82.87,1,66.42,0.0
E00010,3,35.51,13.34,Customer Service,Bachelor,Junior,93.79,6.27,79.3,84.95,46.2,20.34,87.79,62.65,78.52,70.21,2,79.3,0.0
E00010,4,35.51,13.34,Customer Service,Bachelor,Junior,90.95,8.44,64.13,79.52,67.41,5.71,78.36,82.35,69.31,83.3,2,64.13,0.0
E00010,5,35.51,13.34,Customer Service,Bachelor,Junior,92.36,8.06,75.37,80.48,70.73,11.32,87.3,58.23,63.09,83.16,2,75.37,0.0
E00011,1,28.01,11.04,Customer Service,Master,Junior,93.62,4.57,83.65,81.81,81.65,14.97,87.43,58.96,86.22,75.6,1,83.65,0.0
E00011,2,28.01,11.04,Customer Service,Master,Junior,93.58,5.23,66.11,75.95,73.78,6.65,81.28,66.51,84.78,73.84,2,66.11,0.0
E00011,3,28.01,11.04,Customer Service,Master,Junior,84.63,15.06,70.93,81.85,59.5,10.12,82.87,54.41,77.73,75.02,1,70.93,0.0
E00011,4,28.01,11.04,Customer Service,Master,Junior,96.29,3.56,76.63,93.97,70.16,17.85,82.39,74.26,78.46,74.32,2,76.63,0.0
E00011,5,28.01,11.04,Customer Service,Master,Junior,94.92,4.35,73.44,76.19,42.14,6.48,73.57,65.02,80.89,78.15,1,73.44,0.0
E00012,1,33.29,8.68,Research and Development,Master,Junior,89.76,10.59,68.3,65.12,54.05,12.16,61.73,70.68,73.48,65.12,1,68.3,0.0
E00012,2,33.29,8.68,Research and Development,Master,Junior,86.77,12.83,62.55,64.62,57.33,3.81,50.07,68.66,64.83,69.17,0,62.55,0.0
E00012,3,33.29,8.68,Research and Development,Master,Junior,89.96,10.68,57.49,71.18,54.09,8.08,57.13,84.4,61.91,59.44,1,57.49,0.0
E00012,4,33.29,8.68,Research and Development,Master,Junior,96.8,3.56,60.8,82.12,49.04,4.35,57.81,87.66,65.19,74.44,1,60.8,0.0
E00012,5,33.29,8.68,Research and Development,Master,Junior,88.5,12.24,61.29,66.19,80.24,17.03,61.15,62.86,64.79,74.81,1,61.29,0.0
E00013,1,35.77,12.68,Sales,Bachelor,Entry,86.11,14.57,65.22,70.09,68.12,6.79,67.49,78.6,69.03,60.92,1,65.22,0.0
E00013,2,35.77,12.68,Sales,Bachelor,Entry,90.57,10.22,54.57,72.37,84.42,11.74,78.84,58.38,62.72,68.08,1,54.57,0.0
E00013,3,35.77,12.68,Sales,Bachelor,Entry,92.25,5.52,79.53,70.91,41.8,23.21,82.65,65.86,71.27,68.12,2,79.53,0.0
E00013,4,35.77,12.68,Sales,Bachelor,Entry,93.14,6.04,58.25,80.29,42.46,11.85,74.91,69.33,65.41,79.9,1,58.25,0.0
E00013,5,35.77,12.68,Sales,Bachelor,Entry,89.07,11.56,73.38,75.19,41.08,11.0,76.96,62.77,74.57,71.75,1,73.38,0.0
E00014,1,50.29,31.0,Customer Service,Bachelor,Mid,90.7,10.3,76.39,76.26,44.02,12.24,95.27,69.16,86.3,77.86,2,76.39,0.0
E00014,2,50.29,31.0,Customer Service,Bachelor,Mid,91.84,9.07,65.89,77.96,53.26,12.3,92.32,77.86,85.88,83.75,1,65.89,0.0
E00014,3,50.29,31.0,Customer Service,Bachelor,Mid,89.24,9.59,70.8,83.9,42.2,18.57,85.87,63.42,57.39,74.31,1,70.8,0.0
E00014,4,50.29,31.0,Customer Service,Bachelor,Mid,95.03,4.93,82.53,79.09,44.29,13.49,86.96,63.37,84.85,74.6,2,82.53,0.0
E00014,5,50.29,31.0,Customer Service,Bachelor,Mid,93.3,6.64,80.7,78.79,41.15,13.57,88.37,75.95,67.16,79.3,2,80.7,0.0
E00015,1,28.87,3.9,Customer Service,Bachelor,Senior,88.58,11.34,69.08,78.31,29.35,13.97,78.26,61.18,77.36,66.42,1,69.08,0.0
E00015,2,28.87,3.9,Customer Service,Bachelor,Senior,81.45,19.31,56.94,79.41,44.55,16.19,78.62,65.02,71.54,72.34,1,56.94,0.0
E00015,3,28.87,3.9,Customer Service,Bachelor,Senior,90.8,8.42,71.92,82.0,45.91,16.05,77.9,57.04,71.27,73.68,2,71.92,0.0
E00015,4,28.87,3.9,Customer Service,Bachelor,Senior,90.41,9.61,82.93,86.49,34.54,9.88,73.6,62.26,70.28,77.24,2,82.93,0.0
E00015,5,28.87,3.9,Customer Service,Bachelor,Senior,90.16,9.25,68.56,85.42,57.7,7.43,81.11,64.13,68.97,82.61,2,68.56,0.0
E00016,1,27.74,4.36,Research and Development,Bachelor,Senior,84.09,16.33,68.33,54.86,31.64,12.62,64.66,75.33,53.13,66.04,1,68.33,0.0
E00016,2,27.74,4.36,Research and Development,Bachelor,Senior,90.05,9.28,76.61,62.18,43.38,7.61,65.9,63.04,62.15,64.16,1,76.61,0.0
E00016,3,27.74,4.36,Research and Development,Bachelor,Senior,95.02,2.97,56.42,61.47,47.64,31.16,69.43,70.65,64.88,66.66,1,56.42,0.0
E00016,4,27.74,4.36,Research and Development,Bachelor,Senior,93.07,6.97,66.53,70.47,53.23,13.72,67.14,53.6,69.58,71.32,1,66.53,0.0
E00016,5,27.74,4.36,Research and Development,Bachelor,Senior,87.01,12.83,60.89,67.18,47.0,11.02,62.88,60.7,56.44,70.16,1,60.89,0.0
E00017,1,31.81,10.95,HR,Bachelor,Entry,92.75,6.95,75.67,57.79,60.27,4.71,85.72,45.57,76.34,71.44,1,75.67,0.0
E00017,2,31.81,10.95,HR,Bachelor,Entry,91.77,6.94,89.48,64.34,74.32,10.31,74.83,64.32,76.21,71.08,2,89.48,0.0
E00017,3,31.81,10.95,HR,Bachelor,Entry,91.17,8.06,83.53,63.1,81.47,9.64,85.16,66.0,70.24,78.28,1,83.53,0.0
E00017,4,31.81,10.95,HR,Bachelor,Entry,86.88,12.88,75.15,52.97,54.25,8.96,79.64,64.24,73.33,73.82,1,75.15,0.0
E00017,5,31.81,10.95,HR,Bachelor,Entry,92.11,8.75,60.49,72.25,65.49,13.57,88.43,88.52,77.4,72.59,1,60.49,0.0
E00018,1,25.5,4.71,HR,Diploma,Mid,86.32,13.85,61.89,66.26,62.85,13.95,76.69,81.09,65.51,65.77,2,61.89,0.0
E00018,2,25.5,4.71,HR,Diploma,Mid,89.96,10.08,64.26,63.18,51.21,11.68,76.26,65.2,71.96,78.39,1,64.26,0.0
E00018,3,25.5,4.71,HR,Diploma,Mid,95.56,3.65,79.25,70.17,48.3,9.73,67.93,42.56,74.0,63.93,1,79.25,0.0
E00018,4,25.5,4.71,HR,Diploma,Mid,89.76,10.43,71.14,73.5,70.2,8.54,69.48,67.07,74.29,72.14,1,71.14,0.0
E00018,5,25.5,4.71,HR,Diploma,Mid,93.68,7.02,69.58,64.35,49.25,9.93,75.07,73.89,69.51,72.22,1,69.58,0.0
E00019,1,34.48,13.73,Customer Service,PhD,Senior,80.52,18.72,62.98,44.39,64.26,10.27,72.05,73.33,59.99,64.62,1,62.98,0.0
E00019,2,34.48,13.73,Customer Service,PhD,Senior,90.8,9.56,64.19,55.17,61.84,11.35,76.58,63.51,67.56,71.92,1,64.19,0.0
E00019,3,34.48,13.73,Customer Service,PhD,Senior,87.02,12.48,68.91,55.17,48.62,9.26,79.28,62.66,68.38,70.94,1,68.91,0.0
E00019,4,34.48,13.73,Customer Service,PhD,Senior,89.61,11.74,73.41,58.63,54.45,14.64,89.07,72.89,80.41,73.85,1,73.41,0.0
E00019,5,34.48,13.73,Customer Service,PhD,Senior,92.79,6.81,68.17,58.9,50.79,15.33,78.62,78.34,75.92,74.84,1,68.17,0.0
E00020,1,32.29,12.36,IT,Bachelor,Junior,93.48,7.89,53.11,71.14,36.22,5.05,46.52,75.12,68.98,53.36,0,53.11,0.0
E00020,2,32.29,12.36,IT,Bachelor,Junior,94.54,5.12,71.32,76.88,29.06,13.11,48.17,72.94,53.21,57.93,1,71.32,0.0
E00020,3,32.29,12.36,IT,Bachelor,Junior,85.87,13.88,57.89,75.32,35.76,11.82,45.39,64.72,66.98,65.81,1,57.89,0.0
E00020,4,32.29,12.36,IT,Bachelor,Junior,96.72,4.45,72.94,83.34,22.0,6.58,44.75,74.56,61.56,64.78,1,72.94,0.0
E00020,5,32.29,12.36,IT,Bachelor,Junior,97.18,2.49,61.61,69.72,42.81,24.68,52.91,67.17,73.8,69.61,2,61.61,0.0
E00021,1,40.55,18.87,Customer Service,Master,Junior,88.51,13.44,66.73,44.04,40.42,9.02,48.42,55.61,66.01,57.77,1,66.73,0.0
E00021,2,40.55,18.87,Customer Service,Master,Junior,87.13,12.96,61.54,53.84,26.59,8.83,38.42,66.93,52.98,66.49,0,61.54,0.0
E00021,3,40.55,18.87,Customer Service,Master,Junior,87.5,13.94,48.36,47.3,62.41,16.43,44.46,65.88,67.96,56.7,0,48.36,0.0
E00021,4,40.55,18.87,Customer Service,Master,Junior,87.98,12.22,66.61,60.02,70.88,14.46,50.88,64.86,64.94,58.83,1,66.61,0.0
E00021,5,40.55,18.87,Customer Service,Master,Junior,91.42,8.51,45.44,54.92,56.42,17.09,38.75,72.36,64.33,69.27,1,45.44,0.0
E00022,1,36.13,12.89,Finance,Bachelor,Senior,93.54,5.93,65.56,52.23,71.13,18.08,86.79,68.96,75.07,65.45,1,65.56,0.0
E00022,2,36.13,12.89,Finance,Bachelor,Senior,87.16,13.68,65.48,51.31,65.78,22.92,87.4,61.56,83.14,68.95,1,65.48,0.0
E00022,3,36.13,12.89,Finance,Bachelor,Senior,89.58,10.54,64.62,37.47,80.77,18.66,93.24,43.69,70.5,68.56,1,64.62,0.0
E00022,4,36.13,12.89,Finance,Bachelor,Senior,87.02,13.43,84.19,47.75,68.29,12.14,91.45,53.44,74.32,64.77,1,84.19,0.0
E00022,5,36.13,12.89,Finance,Bachelor,Senior,92.52,7.05,74.41,43.12,73.87,8.51,83.7,64.0,70.52,70.35,2,74.41,0.0
E00023,1,29.05,5.07,Operations,Master,Mid,91.01,9.76,73.05,77.68,58.13,7.17,91.55,67.46,84.44,73.22,1,73.05,0.0
E00023,2,29.05,5.07,Operations,Master,Mid,89.71,10.44,71.74,74.04,54.48,27.61,93.75,65.83,69.18,74.89,1,71.74,0.0
E00023,3,29.05,5.07,Operations,Master,Mid,86.25,14.47,83.76,74.89,65.22,6.24,87.03,63.39,65.81,73.67,2,83.76,0.0
E00023,4,29.05,5.07,Operations,Master,Mid,86.26,14.93,76.89,83.62,33.76,6.41,80.52,69.16,69.18,75.25,1,76.89,0.0
E00023,5,29.05,5.07,Operations,Master,Mid,92.45,8.37,77.61,85.52,53.86,9.79,85.73,66.3,70.17,71.98,2,77.61,0.0
E00024,1,21.87,0.94,Customer Service,Master,Senior,87.5,13.22,68.38,62.2,60.86,26.41,93.02,66.81,74.14,69.08,2,68.38,0.0
E00024,2,21.87,0.94,Customer Service,Master,Senior,94.45,5.22,89.56,66.04,66.76,6.83,84.21,53.84,63.16,80.38,1,89.56,0.0
E00024,3,21.87,0.94,Customer Service,Master,Senior,94.09,6.41,69.28,65.29,55.5,11.83,90.01,64.5,75.06,72.98,2,69.28,0.0
E00024,4,21.87,0.94,Customer Service,Master,Senior,87.78,12.89,70.44,62.78,75.26,8.77,84.37,49.94,71.01,76.83,2,70.44,0.0
E00024,5,21.87,0.94,Customer Service,Master,Senior,95.35,3.8,79.44,63.16,65.31,13.04,91.23,65.6,69.58,75.38,2,79.44,0.0
E00025,1,40.54,15.56,Customer Service,Master,Mid,87.16,13.48,63.55,62.12,29.22,9.75,79.93,67.94,77.07,72.2,1,63.55,0.0
E00025,2,40.54,15.56,Customer Service,Master,Mid,88.84,11.73,76.62,77.77,51.46,18.6,76.01,60.41,72.48,64.17,2,76.62,0.0
E00025,3,40.54,15.56,Customer Service,Master,Mid,90.38,8.82,74.74,70.61,57.54,5.98,79.07,61.91,77.44,75.75,2,74.74,0.0
E00025,4,40.54,15.56,Customer Service,Master,Mid,95.84,3.92,78.23,81.36,53.34,9.36,77.86,76.03,74.31,78.67,2,78.23,0.0
E00025,5,40.54,15.56,Customer Service,Master,Mid,91.62,8.68,71.17,74.11,43.51,8.96,78.49,61.28,68.01,80.88,2,71.17,0.0
E00026,1,36.94,12.97,Finance,Master,Manager,88.24,11.72,64.26,60.25,57.43,21.18,64.03,80.89,63.94,64.99,1,64.26,0.0
E00026,2,36.94,12.97,Finance,Master,Manager,89.25,11.82,59.51,58.68,55.61,5.24,64.75,59.79,69.75,69.87,1,59.51,0.0
E00026,3,36.94,12.97,Finance,Master,Manager,88.79,12.46,51.1,67.34,45.14,40.85,80.43,70.25,63.92,66.51,1,51.1,0.0
E00026,4,36.94,12.97,Finance,Master,Manager,92.44,7.72,66.17,58.74,50.58,6.07,71.68,63.46,63.89,68.76,1,66.17,0.0
E00026,5,36.94,12.97,Finance,Master,Manager,99.66,0.81,60.23,67.85,59.88,23.13,71.31,62.43,67.42,65.18,1,60.23,0.0
E00027,1,32.99,11.2,Operations,Master,Entry,90.92,10.15,70.03,45.76,42.81,17.36,70.65,68.57,75.29,56.94,1,70.03,0.0
E00027,2,32.99,11.2,Operations,Master,Entry,82.99,16.83,62.15,42.58,47.01,13.84,53.22,63.17,70.52,71.8,1,62.15,0.0
E00027,3,32.99,11.2,Operations,Master,Entry,83.54,15.97,55.37,43.41,47.75,9.91,55.02,56.52,63.03,66.89,0,55.37,0.0
E00027,4,32.99,11.2,Operations,Master,Entry,86.29,13.5,54.95,46.55,53.87,20.1,58.48,61.36,51.45,58.53,1,54.95,0.0
E00027,5,32.99,11.2,Operations,Master,Entry,92.61,8.04,65.93,51.7,62.5,13.73,57.39,45.99,63.88,61.63,1,65.93,0.0
E00028,1,32.04,11.57,HR,Bachelor,Junior,82.58,16.76,68.52,29.57,59.74,20.61,90.77,66.39,67.14,69.67,1,68.52,0.0
E00028,2,32.04,11.57,HR,Bachelor,Junior,82.54,16.88,79.2,34.85,66.17,10.11,87.66,72.58,70.84,73.2,1,79.2,0.0
E00028,3,32.04,11.57,HR,Bachelor,Junior,87.98,11.53,60.67,23.86,59.3,15.84,86.48,51.35,64.57,67.74,0,60.67,0.0
E00028,4,32.04,11.57,HR,Bachelor,Junior,87.71,12.2,75.14,43.15,40.94,14.66,92.46,59.93,74.62,59.52,1,75.14,0.0
E00028,5,32.04,11.57,HR,Bachelor,Junior,88.3,13.13,78.24,35.06,60.74,8.21,84.8,56.95,81.07,72.86,1,78.24,0.0
E00029,1,35.72,13.21,Customer Service,Diploma,Senior,93.4,6.45,75.05,69.27,47.91,9.01,82.62,63.29,78.17,68.99,2,75.05,0.0
E00029,2,35.72,13.21,Customer Service,Diploma,Senior,87.64,14.05,75.38,66.52,68.36,15.91,82.65,57.33,65.61,76.16,1,75.38,0.0
E00029,3,35.72,13.21,Customer Service,Diploma,Senior,92.32,7.78,75.42,68.44,62.85,15.48,84.46,56.86,69.02,71.77,1,75.42,0.0
E00029,4,35.72,13.21,Customer Service,Diploma,Senior,88.9,11.57,79.36,62.85,56.01,13.88,90.69,67.51,67.1,72.37,1,79.36,0.0
E00029,5,35.72,13.21,Customer Service,Diploma,Senior,92.96,6.69,75.79,64.35,59.25,8.98,83.19,70.6,70.48,72.09,1,75.79,0.0
E00030,1,38.14,17.79,IT,Diploma,Entry,92.24,7.19,58.01,45.04,54.24,6.46,71.1,64.36,75.51,60.55,1,58.01,0.0
E00030,2,38.14,17.79,IT,Diploma,Entry,90.65,10.12,70.53,58.21,55.73,10.46,62.03,57.6,61.27,60.28,1,70.53,0.0
E00030,3,38.14,17.79,IT,Diploma,Entry,87.69,10.98,52.24,56.49,46.95,19.72,63.11,61.4,68.88,64.42,1,52.24,0.0
E00030,4,38.14,17.79,IT,Diploma,Entry,92.39,7.09,78.32,60.0,62.73,10.99,68.13,56.08,62.11,65.59,1,78.32,0.0
E00030,5,38.14,17.79,IT,Diploma,Entry,94.22,7.09,71.04,67.29,61.34,24.78,76.28,74.44,71.77,74.6,2,71.04,0.0
E00031,1,35.71,12.7,Customer Service,Bachelor,Mid,91.26,9.44,67.38,73.62,36.73,12.22,76.21,63.62,72.31,56.94,1,67.38,0.0
E00031,2,35.71,12.7,Customer Service,Bachelor,Mid,97.91,0.87,77.79,72.27,61.8,5.72,84.94,72.11,71.33,71.84,2,77.79,0.0
E00031,3,35.71,12.7,Customer Service,Bachelor,Mid,90.03,10.36,68.33,72.32,60.4,17.37,78.82,74.55,81.21,81.39,2,68.33,0.0
E00031,4,35.71,12.7,Customer Service,Bachelor,Mid,87.31,12.14,61.64,71.41,63.89,13.15,78.39,76.29,68.79,76.88,1,61.64,0.0
E00031,5,35.71,12.7,Customer Service,Bachelor,Mid,89.87,9.44,71.65,74.04,68.03,14.77,78.56,65.61,71.94,71.64,1,71.65,0.0
E00032,1,26.95,7.01,Research and Development,Bachelor,Junior,90.02,9.36,72.96,72.3,53.47,33.94,73.07,69.97,69.71,57.62,1,72.96,0.0
E00032,2,26.95,7.01,Research and Development,Bachelor,Junior,91.61,8.75,72.59,78.19,55.54,5.94,72.17,78.61,75.24,74.22,2,72.59,0.0
E00032,3,26.95,7.01,Research and Development,Bachelor,Junior,96.89,1.72,68.05,86.7,59.31,8.24,64.3,80.69,78.45,80.63,2,68.05,0.0
E00032,4,26.95,7.01,Research and Development,Bachelor,Junior,94.25,5.46,68.46,81.97,32.58,14.1,68.02,77.69,63.28,78.08,2,68.46,0.0
E00032,5,26.95,7.01,Research and Development,Bachelor,Junior,94.37,5.74,64.07,77.08,61.92,15.38,64.58,69.38,80.45,76.3,2,64.07,0.0
E00033,1,46.76,25.77,IT,Master,Junior,90.99,8.53,69.91,82.66,61.83,30.14,76.34,75.57,74.64,70.99,1,69.91,0.0
E00033,2,46.76,25.77,IT,Master,Junior,85.61,13.3,61.25,90.16,70.12,19.17,79.25,67.06,78.4,73.86,1,61.25,0.0
E00033,3,46.76,25.77,IT,Master,Junior,88.23,12.39,68.12,87.44,51.93,5.86,68.85,73.85,77.91,73.12,1,68.12,0.0
E00033,4,46.76,25.77,IT,Master,Junior,98.74,0.57,66.59,85.57,37.83,35.13,78.51,78.5,72.59,70.07,2,66.59,0.0
E00033,5,46.76,25.77,IT,Master,Junior,95.23,3.99,86.89,87.75,53.45,1.53,66.14,67.45,73.89,79.98,2,86.89,0.0
E00034,1,32.58,8.55,Marketing,Bachelor,Junior,83.51,17.44,72.43,80.62,53.12,13.88,71.56,68.12,77.06,68.5,1,72.43,0.0
E00034,2,32.58,8.55,Marketing,Bachelor,Junior,87.84,13.25,59.69,91.0,44.43,17.65,75.44,63.63,76.98,69.78,1,59.69,0.0
E00034,3,32.58,8.55,Marketing,Bachelor,Junior,97.93,1.52,78.96,96.93,72.34,45.98,77.7,69.77,76.27,69.37,2,78.96,0.0
E00034,4,32.58,8.55,Marketing,Bachelor,Junior,93.16,5.65,59.85,86.66,83.41,10.18,59.12,71.04,65.84,88.98,1,59.85,0.0
E00034,5,32.58,8.55,Marketing,Bachelor,Junior,94.59,6.01,76.77,92.05,75.87,8.44,76.23,64.23,69.44,73.84,2,76.77,0.0
E00035,1,33.4,11.97,Research and Development,Bachelor,Manager,89.76,9.07,74.03,80.7,68.93,5.38,80.92,63.8,86.44,76.76,2,74.03,0.0
E00035,2,33.4,11.97,Research and Development,Bachelor,Manager,92.59,7.77,84.4,84.91,46.61,4.7,84.82,56.75,86.0,80.91,2,84.4,0.0
E00035,3,33.4,11.97,Research and Development,Bachelor,Manager,94.67,5.0,71.62,84.78,50.98,3.48,80.49,75.89,82.75,80.79,2,71.62,0.0
E00035,4,33.4,11.97,Research and Development,Bachelor,Manager,89.08,11.03,76.44,78.08,59.38,8.66,75.77,76.76,74.7,82.86,2,76.44,0.0
E00035,5,33.4,11.97,Research and Development,Bachelor,Manager,95.17,4.38,64.83,81.47,39.78,26.08,90.72,59.9,76.17,76.71,2,64.83,0.0
E00036,1,26.24,3.57,Sales,Bachelor,Mid,92.79,7.6,65.49,61.45,41.94,16.05,78.8,49.8,53.41,70.4,1,65.49,0.0
E00036,2,26.24,3.57,Sales,Bachelor,Mid,90.09,10.52,79.29,62.51,47.34,21.73,82.3,64.01,69.61,66.61,1,79.29,0.0
